"TreeNum"	"RecordNum"	"Response"	"Elevation"	"Easting"	"Northing"	"ElevCat"	"IndEdge15M"	"IndDBHIn"	"PropJP25"	"NeighQMD25"	"NeighSDIAlt25"	"NeighBSA25"	"PropJP5"	"NeighQMD5"	"NeighSDIAlt5"	"NeighBSA5"	"PropJP1"	"NeighQMD1"	"NeighSDIAlt1"	"NeighBSA1"	"PropJP15"	"NeighQMD15"	"NeighSDIAlt15"	"NeighBSA15"
1	13984	0	2113	766124.3808	4333846.342	1	0	7	1	11.44552314	14.1486719659014	8.573688	1	11.93284782	35.0192926941965	21.745098	0.983870968	15.09379279	111.546351416498	77.03775	0.988372093	15.50506294	161.153244524603	112.76145
2	13985	0	2113	766138.6395	4333862.622	1	0	6	0.956521739	15.47087024	43.5443855123689	30.02427	0.970588235	17.09919159	75.508009402876	54.218214	0.987012987	17.37216762	177.373111094061	126.740052	0.990990991	16.98780697	245.058819341869	174.707982
3	13986	0	2113	766133.555	4333854.833	1	0	6	0.954545455	13.61316208	33.8784059412864	22.235958	0.966666667	14.92648653	53.4756593100181	36.454536	0.984375	16.57888341	135.045037614417	95.941314	0.990654206	16.60621435	226.446348047841	160.931178
4	13987	0	2113	766142.1546	4333858.689	1	0	7	0.944444444	14.94248232	32.0598696570988	21.919626	0.970588235	16.49063906	71.5397806468168	50.427684	0.9875	16.0713254	161.125746929053	112.696002	0.990654206	16.78060741	232.221978744417	164.32902
5	13988	0	2113	766141.1526	4333857.993	1	0	12	0.947368421	14.80220467	33.3998113478541	22.705002	0.96969697	16.58495119	70.0161521722218	49.505958	0.986842105	16.57796572	161.23221748039	113.917698	0.99047619	16.42558979	219.582805309954	154.506366
6	13989	0	2113	766142.0029	4333857.263	1	0	8	0.944444444	14.94248232	32.0598696570988	21.919626	0.970588235	16.49063906	71.5397806468167	50.427684	0.98630137	16.23500362	149.508435262549	104.940414	0.990654206	16.43821624	224.127578094791	157.691502
7	13990	0	2113	766147.5703	4333858.562	1	0	14	0.947368421	16.60374086	40.0888968255558	28.568052	0.977272727	16.63580476	94.5883867358943	66.413358	0.987179487	16.22320276	160.255920883883	111.965166	0.991071429	16.65565112	240.489233970222	169.45578
8	13991	0	2113	766140.7057	4333853.88	1	0	8	0.956521739	14.93900643	41.1972324943022	27.995382	0.964285714	15.53797192	52.9639067263826	36.86904	0.985294118	16.11493644	137.350745441526	96.312186	0.990990991	16.11669159	224.837437170282	157.249728
9	13992	0	2113	766141.393	4333853.84	1	0	15	0.956521739	14.93900643	41.1972324943022	27.995382	0.966666667	15.96245595	59.5506370177016	41.690376	0.985507246	15.90369568	136.094160830277	95.183208	0.990909091	16.15577578	223.672143842784	156.589794
10	13993	0	2113	766138.449	4333849.022	1	0	20	1	14.27808238	36.5200275850518	24.46119	0.964285714	14.07251627	45.3925220050078	30.24243	0.983870968	15.4851646	116.402124798267	81.084618	0.990825688	15.61756245	209.367046869867	145.000044
