TreeNum	RecordNum	Response	Elevation	Easting	Northing	ElevCat	IndEdge15M	IndDBHIn	DeadDist	DeadDistInd	PropJP25	NeighQMD25	NeighSDIAlt25	NeighBSA25	BSADead25	BSADeadInd25	PropJP5	NeighQMD5	NeighSDIAlt5	NeighBSA5	BSADead5	BSADeadInd5	PropJP1	NeighQMD1	NeighSDIAlt1	NeighBSA1	BSADead1	BSADeadInd1	PropJP15	NeighQMD15	NeighSDIAlt15	NeighBSA15	BSADead15	BSADeadInd15	TreesPClus	BAPClus	NeighBSA9125	NeighBSA915	NeighBSA911	NeighBSA9115	BSADead25NEW	BSADeadInd25NEW	BSADead5NEW	BSADeadInd5NEW	BSADead1NEW	BSADeadInd1NEW	BSADead15NEW	BSADeadInd15NEW
1	13984	0	2113	766124.3808	4333846.342	1	0	7	49.65012717	1	1	11.44552314	14.14867197	8.573688	0	0	1	11.93284782	35.01929269	21.745098	0	0	0.983870968	15.09379279	111.5463514	77.03775	0	0	0.988372093	15.50506294	161.1532445	112.76145	0	0	15	24.128496	8.573688	21.745098	77.03775	112.76145	0	0	0	0	0	0	0	0
2	13985	0	2113	766138.6395	4333862.622	1	0	6	31.57695778	1	0.956521739	15.47087024	43.54438551	30.02427	0	0	0.970588235	17.09919159	75.5080094	54.218214	0	0	0.948051948	17.34311921	169.6362182	121.395132	5.34492	1	0.918918919	17.0530298	228.2253556	163.363662	11.34432	1	15	24.128496	30.02427	54.218214	126.740052	174.707982	0	0	0	0	5.34492	1	11.34432	1
3	13986	0	2113	766133.555	4333854.833	1	0	6	38.51192214	1	0.954545455	13.61316208	33.87840594	22.235958	0	0	0.966666667	14.92648653	53.47565931	36.454536	0	0	0.984375	16.57888341	135.0450376	95.941314	0	0	0.953271028	16.52506187	215.6674976	153.404658	7.52652	1	15	24.128496	22.235958	36.454536	95.941314	160.931178	0	0	0	0	0	0	7.52652	1
4	13987	0	2113	766142.1546	4333858.689	1	0	7	29.12140948	1	0.944444444	14.94248232	32.05986966	21.919626	0	0	0.970588235	16.49063906	71.53978065	50.427684	0	0	0.9	16.10921628	147.0938406	103.320576	9.375426	1	0.906542056	16.77157459	211.8437422	150.344964	13.984056	1	15	24.128496	21.919626	50.427684	112.696002	164.32902	0	0	0	0	9.375426	1	13.984056	1
5	13988	0	2113	766141.1526	4333857.993	1	0	12	30.29468654	1	0.947368421	14.80220467	33.39981135	22.705002	0	0	0.96969697	16.58495119	70.01615217	49.505958	0	0	0.934210526	16.45996827	150.4533671	106.391178	7.52652	1	0.914285714	16.45017469	202.7493416	143.162046	11.34432	1	15	24.128496	22.705002	49.505958	113.917698	154.506366	0	0	0	0	7.52652	1	11.34432	1
6	13989	0	2113	766142.0029	4333857.263	1	0	8	29.74744285	1	0.944444444	14.94248232	32.05986966	21.919626	0	0	0.970588235	16.49063906	71.53978065	50.427684	0	0	0.931506849	16.08897363	138.7295848	97.413894	7.52652	1	0.906542056	16.39717497	203.7493416	143.707446	13.984056	1	15	24.128496	21.919626	50.427684	104.940414	157.691502	0	0	0	0	7.52652	1	13.984056	1
7	13990	0	2113	766147.5703	4333858.562	1	0	14	24.09804331	1	0.947368421	16.60374086	40.08889683	28.568052	0	0	0.909090909	16.52566371	86.85149382	61.068438	5.34492	1	0.884615385	16.2344431	143.4224571	100.620846	11.34432	1	0.830357143	16.49336011	204.1057401	143.914698	25.541082	1	15	24.128496	28.568052	66.413358	111.965166	169.45578	0	0	5.34492	1	11.34432	1	25.541082	1
8	13991	0	2113	766140.7057	4333853.88	1	0	8	31.89620816	1	0.956521739	14.93900643	41.19723249	27.995382	0	0	0.964285714	15.53797192	52.96390673	36.86904	0	0	0.941176471	16.01873903	129.6138525	90.967266	5.34492	1	0.90990991	16.04772295	204.4592006	143.265672	13.984056	1	15	24.128496	27.995382	36.86904	96.312186	157.249728	0	0	0	0	5.34492	1	13.984056	1
9	13992	0	2113	766141.393	4333853.84	1	0	15	31.2374731	1	0.956521739	14.93900643	41.19723249	27.995382	0	0	0.966666667	15.96245595	59.55063702	41.690376	0	0	0.942028986	15.79796688	128.3572679	89.838288	5.34492	1	0.909090909	16.08978521	203.2939073	142.605738	13.984056	1	15	24.128496	27.995382	41.690376	95.183208	156.589794	0	0	0	0	5.34492	1	13.984056	1
10	13993	0	2113	766138.449	4333849.022	1	0	20	35.4663525	1	1	14.27808238	36.52002759	24.46119	0	0	0.964285714	14.07251627	45.39252201	30.24243	0	0	0.967741935	15.47658199	114.2758834	79.688394	1.396224	1	0.908256881	15.49903223	188.9888103	131.015988	13.984056	1	15	24.128496	24.46119	30.24243	81.084618	145.000044	0	0	0	0	1.396224	1	13.984056	1
11	13994	0	2113	766135.6485	4333846.89	1	0	15	38.8444403	1	1	13.97318861	31.82509218	21.29787	0	0	0.965517241	13.8476937	45.62229886	30.329694	0	0	0.983333333	15.32155345	110.2557081	76.81959	0	0	0.959183673	15.478338	178.6254984	124.13304	5.34492	1	15	24.128496	21.29787	30.329694	76.81959	129.47796	0	0	0	0	0	0	5.34492	1
12	13995	0	2113	766146.3207	4333846.643	1	0	15	29.32063598	1	1	14.99607792	30.50386496	20.850642	0	0	0.972972973	14.09715325	59.98241223	40.103262	0	0	0.867647059	15.05545305	107.9214082	74.1744	12.015162	1	0.803921569	15.05139344	162.8318816	111.201606	17.987292	1	15	24.128496	20.850642	40.103262	86.189562	129.188898	0	0	0	0	12.015162	1	17.987292	1
