bas10,model_use,gen_aquifer,bfi,ppt81_10,recharge,strmden,sand,relief,slopeave,wtdepave,rockdepave,hga,weg,sb_idw_c,be_idw_c,bi_idw_c,as_idw_c2,mo_idw_a,percent_ti,ivr,sls,lc11,lc82,Cv,D,D3,DSe,De_geo,M,Oe,Pzg1,Pzg2,Pzmi,Q,Qp,S3,Se,Tm,Tmc,Tp,Tpc,Tpv,Tr,uK3
0,v,carb_sdst,27,33.305511,18,0.090648,12.363,274,5.775,6,23.334999,0,7.428999,0.171896,0.397689,0.045244,1.60731,0.910345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,v,sg,6,5.548031,1,0.065321,68.098602,720,3.92,5.98,60,83,5.909999,0.386559,1.99899,0.080391,3.51826,0.702471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,v,sg,35,4.832283,7,0.06921,63.858101,1378,2.144999,4.065,59,12,4.040999,0.674,1.58342,0.11421,6.923719,0.941955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,sg,35,12.348032,39,0.093134,28.8503,708,8.189999,6,59.099998,0,7.849999,0.837414,1.28459,0.13549,4.820419,3.25061,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,v,sg,36,17.933071,7,0.044346,29.810301,427,31.184999,6,23.229999,0,6.449999,0.553092,1.60519,0.172501,3.61904,0.927631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,sg,46,19.026771,10,0.038052,36.331699,488,24.810499,6,32.368499,0,4.105,0.626798,1.874019,0.274453,3.794909,1.09858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,sg,32,20.026771,7,0.098455,26.0571,578,31.184999,6,23.229999,0,6.449999,0.602478,1.66969,0.204534,3.91861,1.03749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,sg,29,20.476377,5,0.134461,25.513,121,1,4.46,59.900001,0,7.42,1.10903,1.227239,0.177975,7.78664,0.651826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,v,sg,47,7.225984,10,0.119212,37.8564,920,4.215,6,44.650001,0,4,0.55588,1.29793,0.128404,4.89783,0.966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,sg,43,27.551574,23,0.076477,35.280201,551,4.98,5.929999,52.529998,0,7.53,0.480778,0.803749,0.066204,8.99676,0.898288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,v,sg,37,21.331497,7,0.12579,27.780899,336,0.985,4.309999,60,0,7.889999,0.966419,1.03269,0.128637,8.477499,1.046339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,v,sdst,40,45.469291,232,0.035666,21.1159,271,22.975,4.8375,45,22,7.881,1.113229,2.38191,0.363927,13.586199,2.279609,0.708395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,v,carb_sdst,41,38.06929,192,0.079836,32.457802,488,17.11,5.207499,34.349998,0,5.86,1.187039,1.95026,0.315151,17.525299,3.282399,0.261062,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
