"SAMPLE.ID","LATITUDE","LONGITUDE","AGE","ROCK.NAME","SIO2","TIO2","AL2O3","MNO","MGO","CAO","NA2O","K2O","P2O5"
"304",45.3676,-118.457,14.55,"andesite",61.36,1.97,13.54,0.177,1.53,5.22,3.63,2.64,0.82
"C139487",43,-121.20833,7,"andesite",51.9,0.94,19.8,0.12,5.33,9.57,3.46,0.64,0.27
"427",45.2089,-118.057,14.55,"andesite",58.35,1.286,16.44,0.144,3.05,6.19,4.11,1.73,0.732
"PM-20",44.3721,-120.503,45.6,"andesite",60.33,1.01,16.98,0.13,4.07,6.38,3.57,1.37,0.2
"D549444",44.52889,-118.06083,3,"andesite",53.6,1.02,16.2,0.16,5.63,2.9,5.9,0.58,0.13
"776",44.531,-118.736,39.3,"andesite",60.3,0.827,18.1,0.141,1.98,6.69,3.85,1.18,0.353
"D548448",44.3175,-117.82194,3,"andesite",60.1,0.85,16.7,0.09,3.57,6.43,3.86,1.43,0.27
"M115151",42.625,-120.375,14.5,"andesite",57.1,1.5,17.1,0.06,1.4,5,4.4,2.7,0.43
"C159414",43.82944,-121.21944,7,"andesite",49.7,1.55,17.2,0.17,6.64,9.86,3.23,0.53,0.35
"D554296",44.36472,-117.50361,44,"andesite",48,1.3,14.5,0.16,8.4,8.97,3.55,0.07,0.13
"133",45.4946,-118.224,14.55,"andesite",60.02,1.972,13.45,0.205,1.71,5.18,3.98,2.25,0.794
"86-20",42.9999,-118.258,16.31,"andesite",54.25,2.05,14.08,0.18,3.24,6.61,3.73,2.05,0.44
"136",45.4901,-118.256,14.55,"andesite",59.78,1.929,13.21,0.223,1.78,5.34,3.61,2.65,0.788
"M176858",42.25,-118.91667,3,"andesite",63.1,0.88,15.4,0.12,1,3.14,4.3,4.1,0.4
"276",45.3946,-117.822,14.55,"andesite",58.81,1.241,16.7,0.11,3.99,6.42,4,1.65,0.505
"W202788",43.75,-121.125,2,"andesite",53.8,1.4,17,0.19,3.9,7.7,3.9,0.82,0.2
"3S088M",44.1139,-121.339,4.7,"andesite",57.8,1.49,16.7,0.15,3.04,6.32,4.83,1.25,0.32
"D549486",45.3825,-121.39278,2,"andesite",60.1,0.93,17.1,0.1,2.87,6.2,4.29,1.52,0.29
"S88-25",45.3408,-121.457,2.86,"andesite",61.8,0.83,16.8,0.09,2.31,5.34,3.94,2.03,0.22
"DC-8",44.5666,-120.329,45.6,"andesite",57.47,1.15,15.85,0.13,4.85,7.42,3.69,0.64,0.24
"C159458",43.825,-121.29194,7,"andesite",50,1.55,17.3,0.17,6.72,9.93,3.33,0.48,0.37
"C159457",43.82806,-121.28944,7,"andesite",58.1,1.16,17,0.13,3.81,6.64,4.24,1.37,0.31
"JR-91-11",43.5,-119.8,6.29,"andesite",61.78,0.97,14.79,0.12,3.87,5.57,3.67,2.14,0.18
"3S073",44.098,-121.521,0.49,"andesite",58.6,1.08,17.5,0.13,3.07,6.57,4.04,1.28,0.23
"131",45.4989,-118.229,14.55,"andesite",60.09,1.968,13.25,0.216,1.76,5.37,3.55,2.57,0.793
"C197957",43.70306,-121.30889,43,"andesite",55.9,1.73,15.4,0.17,3.19,6.34,4.33,1.37,0.38
"D578886",44.09278,-117.58306,11,"andesite",52.2,2.45,13.5,0.19,3.56,7.19,2.91,1.49,0.47
"174",45.4458,-117.853,14.55,"andesite",62.84,1.052,16.32,0.099,2.31,5.29,4.05,1.9,0.422
"s_BEAR CREEK2",45.94,-117.5,10.8,"andesite",53.93,2.81,13.36,0.2,2.59,6.5,2.92,2.71,0.85
"34",45.5825,-121.25,0.83,"andesite",55,1.34,16.9,0.13,4.55,7.8,3.8,1.1,0.22
"M192546",45.40639,-121.46306,2,"andesite",62.3,0.7,17.2,0.08,2.08,5.52,4.09,1.17,0.18
"PM-32",44.3721,-120.503,45.6,"andesite",53.94,1.37,17.8,0.15,5.43,8.67,3.38,0.92,0.34
"PH-13",44.61,-120.684,45.6,"andesite",63.01,0.86,15.52,0.12,2.54,5.09,3.69,2.01,0.16
"JR-91-44",43.5,-119.7,6.29,"andesite",67.84,0.61,14.33,0.12,1.47,2.68,4.61,3.72,0.13
"C139480",43,-121.20833,7,"andesite",49.8,1.03,18,0.14,6.9,10.9,2.78,0.61,0.42
"835",43.9958,-117.526,13.8,"andesite",61.17,1.46,12.8,0.33,1.31,5.08,3.15,3.29,0.49
"DC-2",44.5666,-120.329,45.6,"andesite",58.07,0.94,16.34,0.15,3.7,8.63,3.29,1.29,0.35
"C213229",43.76222,-121.36083,7,"andesite",55.2,2.13,15.9,0.19,3.18,6.57,4.73,1,0.51
"318",45.3376,-118.117,14.55,"andesite",60.31,1.987,13.38,0.162,1.12,4.76,3.97,2.33,0.801
"C139507",43,-121.20833,7,"andesite",59.7,1.53,15.8,0.18,2.28,4.75,5.47,1.32,0.75
"MB97-2",43.054,-118.233,11.66,"andesite",59.46,2.03,13.45,0.14,2.13,5.51,3.28,2.8,0.39
"FG-6A",44.8149,-120.482,45.6,"andesite",61.91,1.16,16.17,0.12,2.22,5.56,4,1.63,0.22
"405",45.2193,-118.026,14.55,"andesite",59.41,1.204,16.73,0.159,3.35,6.24,3.96,2.08,0.722
"M168953",44.36667,-117.23333,59,"andesite",50.3,0.73,19.2,0.31,5.64,3.67,5.16,0.78,0.08
"D549451",44.46917,-118.04083,15,"andesite",59.2,0.79,17.6,0.05,2.2,5.52,4.31,1.39,0.23
"743",44.7224,-118.674,14.55,"andesite",59.63,1.109,15.55,0.131,5.11,7.46,3,0.9,0.202
